date,open,high,low,close,volume,maturity
2023-11-20,4.463,4.486,4.41,4.4198,0,10y
2023-11-21,4.422,4.443,4.385,4.4081,0,10y
2023-11-22,4.398,4.447,4.363,4.412,0,10y
2023-11-23,4.412,4.412,4.412,4.412,0,10y
2023-11-24,4.453,4.492,4.443,4.4841,0,10y
2023-11-27,4.496,4.514,4.381,4.3827,0,10y
2023-11-28,4.4,4.422,4.321,4.3361,0,10y
2023-11-29,4.323,4.326,4.253,4.2648,0,10y
2023-11-30,4.261,4.367,4.247,4.3399,0,10y
2023-12-01,4.313,4.349,4.197,4.2204,0,10y
2023-12-04,4.232,4.297,4.224,4.2702,0,10y
2023-12-05,4.251,4.264,4.163,4.1744,0,10y
2023-12-06,4.174,4.205,4.104,4.1192,0,10y
2023-12-07,4.125,4.184,4.104,4.1514,0,10y
2023-12-08,4.153,4.278,4.147,4.2314,0,10y
2023-12-11,4.241,4.295,4.231,4.2352,0,10y
2023-12-12,4.241,4.25,4.153,4.2063,0,10y
2023-12-13,4.204,4.21,4.007,4.0239,0,10y
2023-12-14,4.011,4.011,3.887,3.9077,0,10y
2023-12-15,3.943,3.971,3.894,3.9148,0,10y
2023-12-18,3.935,3.969,3.892,3.9482,0,10y
2023-12-19,3.931,3.952,3.894,3.9219,0,10y
2023-12-20,3.922,3.922,3.849,3.8566,0,10y
2023-12-21,3.86,3.905,3.831,3.8862,0,10y
2023-12-22,3.884,3.919,3.848,3.9006,0,10y
2023-12-26,3.9,3.91,3.878,3.893,0,10y
2023-12-27,3.902,3.902,3.783,3.7889,0,10y
2023-12-28,3.811,3.859,3.8,3.8443,0,10y
2023-12-29,3.847,3.896,3.833,3.866,0,10y
2024-01-01,3.866,3.866,3.866,3.866,0,10y
2024-01-02,3.866,4.024,3.866,3.9369,0,10y
2024-01-03,3.9369,4.01,3.896,3.9031,0,10y
2024-01-04,3.924,4.006,3.901,3.9931,0,10y
2024-01-05,4.0,4.101,3.955,4.0476,0,10y
2024-01-08,4.0476,4.08,3.966,4.0077,0,10y
2024-01-09,4.019,4.053,3.996,4.0152,0,10y
2024-01-10,4.004,4.044,3.979,4.0416,0,10y
2024-01-11,4.024,4.068,3.966,3.9809,0,10y
2024-01-12,3.965,4.005,3.916,3.9521,0,10y
2024-01-15,3.9521,3.9521,3.9521,3.9521,0,10y
2024-01-16,3.98,4.083,3.978,4.0638,0,10y
2024-01-17,4.073,4.129,4.037,4.1,0,10y
2024-01-18,4.098,4.154,4.071,4.142,0,10y
2024-01-19,4.148,4.196,4.123,4.1379,0,10y
2024-01-22,4.13,4.14,4.075,4.0995,0,10y
2024-01-23,4.107,4.155,4.088,4.1358,0,10y
2024-01-24,4.136,4.186,4.086,4.1762,0,10y
2024-01-25,4.19,4.192,4.12,4.1261,0,10y
2024-01-26,4.112,4.166,4.093,4.1489,0,10y
2024-01-29,4.135,4.145,4.059,4.072,0,10y
2024-01-30,4.078,4.103,4.034,4.049,0,10y
2024-01-31,4.036,4.041,3.912,3.9482,0,10y
2024-02-01,3.935,3.958,3.817,3.8577,0,10y
2024-02-02,3.887,4.054,3.874,4.0275,0,10y
2024-02-05,4.066,4.177,4.06,4.1617,0,10y
2024-02-06,4.146,4.169,4.079,4.0923,0,10y
2024-02-07,4.104,4.135,4.067,4.1153,0,10y
2024-02-08,4.102,4.172,4.088,4.156,0,10y
2024-02-09,4.156,4.195,4.127,4.1773,0,10y
2024-02-12,4.1773,4.197,4.148,4.1696,0,10y
2024-02-13,4.179,4.328,4.15,4.3183,0,10y
2024-02-14,4.322,4.332,4.246,4.2652,0,10y
2024-02-15,4.253,4.255,4.187,4.2339,0,10y
2024-02-16,4.24,4.328,4.24,4.2929,0,10y
2024-02-19,4.2929,4.2929,4.2929,4.2929,0,10y
2024-02-20,4.315,4.319,4.244,4.2714,0,10y
