date,open,high,low,close,volume,maturity
2023-09-29,5.0498,5.0498,5.0498,5.0498,0,2y
2023-10-02,5.1083,5.1083,5.1083,5.1083,0,2y
2023-10-03,5.1502,5.1502,5.1502,5.1502,0,2y
2023-10-04,5.0498,5.0498,5.0498,5.0498,0,2y
2023-10-05,5.0162,5.0162,5.0162,5.0162,0,2y
2023-10-06,5.0834,5.0834,5.0834,5.0834,0,2y
2023-10-09,4.9319,4.9319,4.9319,4.9319,0,2y
2023-10-10,4.957,4.957,4.957,4.957,0,2y
2023-10-11,4.9905,4.9905,4.9905,4.9905,0,2y
2023-10-12,5.0665,5.0665,5.0665,5.0665,0,2y
2023-10-13,5.0496,5.0496,5.0496,5.0496,0,2y
2023-10-16,5.1006,5.1006,5.1006,5.1006,0,2y
2023-10-17,5.2202,5.2202,5.2202,5.2202,0,2y
2023-10-18,5.2118,5.2118,5.2118,5.2118,0,2y
2023-10-19,5.1607,5.1607,5.1607,5.1607,0,2y
2023-10-20,5.0753,5.0753,5.0753,5.0753,0,2y
2023-10-23,5.0667,5.0667,5.0667,5.0667,0,2y
2023-10-24,5.1011,5.1011,5.1011,5.1011,0,2y
2023-10-25,5.1165,5.1165,5.1165,5.1165,0,2y
2023-10-26,5.0416,5.0416,5.0416,5.0416,0,2y
2023-10-27,5.0,5.0,5.0,5.0,0,2y
2023-10-30,5.0416,5.0416,5.0416,5.0416,0,2y
2023-10-31,5.0665,5.0665,5.0665,5.0665,0,2y
2023-11-01,4.9582,4.9582,4.9582,4.9582,0,2y
2023-11-02,4.9914,4.9914,4.9914,4.9914,0,2y
2023-11-03,4.8407,4.8407,4.8407,4.8407,0,2y
2023-11-06,4.855,4.943,4.851,4.9408,0,2y
2023-11-07,4.932,4.957,4.888,4.9155,0,2y
2023-11-08,4.911,4.955,4.911,4.932,0,2y
2023-11-09,4.934,5.041,4.921,5.0412,0,2y
2023-11-10,5.035,5.071,4.978,5.0581,0,2y
2023-11-13,5.064,5.081,5.024,5.0242,0,2y
2023-11-14,5.045,5.05,4.811,4.8212,0,2y
2023-11-15,4.85,4.937,4.825,4.9224,0,2y
2023-11-16,4.901,4.91,4.818,4.846,0,2y
2023-11-17,4.843,4.917,4.798,4.9047,0,2y
2023-11-20,4.9,4.926,4.881,4.913,0,2y
2023-11-21,4.911,4.919,4.864,4.8872,0,2y
2023-11-22,4.874,4.94,4.844,4.9039,0,2y
2023-11-23,4.9039,4.9039,4.9039,4.9039,0,2y
2023-11-24,4.933,4.961,4.925,4.9548,0,2y
2023-11-27,4.965,4.985,4.884,4.8859,0,2y
2023-11-28,4.865,4.89,4.732,4.7508,0,2y
2023-11-29,4.73,4.736,4.608,4.6434,0,2y
2023-11-30,4.649,4.732,4.618,4.7009,0,2y
2023-12-01,4.661,4.712,4.54,4.5591,0,2y
2023-12-04,4.588,4.668,4.583,4.6332,0,2y
2023-12-05,4.635,4.643,4.562,4.583,0,2y
2023-12-06,4.583,4.624,4.576,4.5991,0,2y
2023-12-07,4.599,4.638,4.565,4.5904,0,2y
2023-12-08,4.593,4.74,4.593,4.7229,0,2y
2023-12-11,4.731,4.773,4.706,4.7143,0,2y
2023-12-12,4.716,4.75,4.638,4.7308,0,2y
2023-12-13,4.728,4.737,4.424,4.4453,0,2y
2023-12-14,4.409,4.409,4.282,4.3778,0,2y
2023-12-15,4.399,4.485,4.359,4.4512,0,2y
2023-12-18,4.448,4.465,4.408,4.459,0,2y
2023-12-19,4.446,4.467,4.414,4.4331,0,2y
2023-12-20,4.437,4.441,4.333,4.365,0,2y
2023-12-21,4.365,4.387,4.301,4.3474,0,2y
2023-12-22,4.338,4.376,4.315,4.3273,0,2y
2023-12-26,4.337,4.38,4.327,4.3605,0,2y
2023-12-27,4.308,4.31,4.231,4.2416,0,2y
2023-12-28,4.254,4.293,4.25,4.2829,0,2y
2023-12-29,4.279,4.314,4.244,4.2499,0,2y
2024-01-01,4.2499,4.2499,4.2499,4.2499,0,2y
2024-01-02,4.2499,4.353,4.2499,4.3243,0,2y
2024-01-03,4.3243,4.382,4.314,4.3243,0,2y
2024-01-04,4.326,4.399,4.299,4.3825,0,2y
2024-01-05,4.381,4.494,4.316,4.3912,0,2y
2024-01-08,4.3912,4.406,4.304,4.3662,0,2y
2024-01-09,4.364,4.394,4.354,4.3663,0,2y
2024-01-10,4.354,4.379,4.329,4.3664,0,2y
2024-01-11,4.356,4.394,4.245,4.2576,0,2y
2024-01-12,4.247,4.285,4.121,4.1483,0,2y
2024-01-15,4.1483,4.1483,4.1483,4.1483,0,2y
2024-01-16,4.184,4.262,4.161,4.2322,0,2y
2024-01-17,4.236,4.376,4.205,4.3502,0,2y
2024-01-18,4.35,4.382,4.312,4.3588,0,2y
2024-01-19,4.355,4.421,4.346,4.393,0,2y
2024-01-22,4.4,4.417,4.366,4.3847,0,2y
2024-01-23,4.395,4.419,4.37,4.3848,0,2y
2024-01-24,4.339,4.388,4.287,4.3819,0,2y
2024-01-25,4.394,4.415,4.297,4.3159,0,2y
2024-01-26,4.287,4.37,4.281,4.3572,0,2y
2024-01-29,4.345,4.353,4.304,4.3077,0,2y
2024-01-30,4.328,4.388,4.295,4.3572,0,2y
2024-01-31,4.33,4.335,4.186,4.2252,0,2y
2024-02-01,4.235,4.26,4.134,4.1921,0,2y
2024-02-02,4.21,4.405,4.196,4.3742,0,2y
2024-02-05,4.422,4.483,4.41,4.4742,0,2y
2024-02-06,4.458,4.479,4.383,4.4077,0,2y
2024-02-07,4.406,4.437,4.364,4.4329,0,2y
2024-02-08,4.425,4.462,4.412,4.4582,0,2y
2024-02-09,4.457,4.499,4.425,4.4841,0,2y
2024-02-12,4.4841,4.491,4.453,4.4759,0,2y
2024-02-13,4.476,4.673,4.449,4.6536,0,2y
2024-02-14,4.663,4.665,4.552,4.5778,0,2y
2024-02-15,4.574,4.587,4.502,4.5697,0,2y
2024-02-16,4.586,4.721,4.586,4.648,0,2y
2024-02-19,4.648,4.648,4.648,4.648,0,2y
2024-02-20,4.653,4.661,4.574,4.6057,0,2y
2024-02-21,4.617,4.675,4.583,4.666,0,2y
2024-02-22,4.662,4.727,4.647,4.7008,0,2y
